Mickey		米奇	
Mike		麦克	
Milly		米莉
Miranda		米兰达	
Miriam		米里亚姆	
Miya		米娅	
Molly		茉莉	
Monica		莫尼卡	
Morgan		摩尔根
Morgan		摩根	
Nancy		南茜
Natalie		娜塔莉	
Natasha		娜塔莎
Nathaniel			
Nathan		纳撒尼尔	
Neil		尼尔	
Nelson		尼尔森	
Nicholas		尼古拉斯	
Nick		尼克	
Nicole		妮可	
Nikita		尼基塔	
Nina		尼娜
Noah		诺亚	
Nora		娜拉
Nora		诺拉	
Norman		诺曼	
Norma		诺玛	
Nydia		尼迪亚	
Octavia		奥克塔维亚	
Olina		奥琳娜	
Oliver		奥利弗	
Olivia		奥利维亚	
Ophelia		奥菲莉娅	
Oprah		奥帕
Oscar		奥斯卡	
Owen		欧文	
Pamela		帕梅拉	
Patricia		帕特丽夏	
Patrick		帕特里克
Patrick		派翠克	
Patty		芭迪
Paula		保拉	
Pauline		波琳
Paul		保罗	
Pearl		珀尔	
Peggy		帕姬
Peter		彼得	
Philip		菲利普	
Philomena		菲洛米娜	
Phoebe		菲比	
Phyllis		菲丽丝	
Polly		波莉	
Priscilla		普里西拉	
Quentina		昆蒂娜
Quentin		昆廷	
Rachel		雷切尔	
Randall		兰德尔
Randolph		伦道夫	
Randy		兰迪
Raymond			
Ray		雷	
Rebecca		丽贝卡	
Reed		列得	
Regina		瑞加娜	
Rex		雷克斯	
Richard		理查德	
Richie		里奇
Riley		赖利
Riley		瑞利	
Rita		丽塔
Robert		罗伯特	
Robinson		罗宾逊
Robinson		鲁宾逊	
Robin		罗宾
Rock		洛克	
Roger		罗杰	
Ronald		罗纳	
Ronald		罗纳德	
Rose		罗丝	
Rowan		罗文	
Roxanne		洛克萨妮	
Roy		罗伊	
Ruth		露丝	
Ryan		赖安	
Sabrina		萨布丽娜	
Sally		萨莉	
Samantha		萨曼莎	
Sami		萨米	
Sammy		萨米
Samuel		塞缪尔	
Sam		萨姆
Sam		山姆
Sandra		桑德拉	
Sandra		桑德拉
Sandy		桑迪
Sarah		莎拉	
Sara		莎拉	
Savannah		萨瓦纳
Savannah		萨瓦娜	
Scarlett		斯佳丽
Scarlett		斯嘉丽	
Scott		斯考特	
Sean		肖恩
Selina		塞琳娜	
Selma		塞尔玛	
Serena		塞丽娜	
Sharon		莎伦
Shawn		肖恩
Sheila		希拉	
Shelley		雪莉
Shelly		雪莉
Sherry		雪丽
Shirley		雪莉	
Sidney		西德尼	
Sierra		斯莱瑞	
Silvia		西尔维亚	
Simon		西蒙	
Solomon		所罗门	
Sonia		索尼亚	
Sophia		索菲娅	
Spark		斯帕克	
Spencer		斯宾塞	
Spike		斯派克	
Stacy		丝塔茜
Stanley		斯坦利	
Stella		丝特拉
Stephanie		斯蒂芬妮	
Steven		史蒂文
Steve		史蒂夫	
Stewart		斯图尔特	
Stuart		斯图亚特	
Sue		苏
Sunny		萨妮
Susan		苏珊	
Tamara		塔玛拉	
Tammy		苔米
Tanya		谭雅
Tanya		坦尼娅
Tasha		塔莎	
Ted		泰德	
Terence		特伦斯	
Teresa		特莉萨	
Terry		特里
Tess		苔丝
Thomas		托马斯	
Tiffany		蒂凡妮	
Timothy		蒂莫西	
Tim		提姆	
Tina		蒂娜	
Todd		托德	
Tommy		汤米
Tom		汤姆
Tonya		棠雅
Tonya		东妮亚	
Tony		托尼
Tracy		特蕾西	
Tyler		泰勒	
Ultraman		奥特曼	
Ulysses		尤利塞斯	
Ursula		厄休拉	
Vanessa		温妮莎	
Van		范	
Venus		维纳斯	
Vera		维拉	
Vernon		弗农	
Vern		弗恩
Vicky		维姬
Victoria		维多利亚	
Victor		维克多	
Vincent		文森特	
Violet		维尔莉特	
Virginia		维吉妮亚	
Vita		维达	
Vivian		薇薇安	
Wanda		旺达	
Warner		华纳	
Warren		沃伦	
Wayne		韦恩	
Wendy		温蒂
Wesley		卫斯理	
Whitney		惠特尼	
William		威廉	
Willy		威利
Willy		维利	
Winnie		温妮	
Wynne		韦恩	
Yolanda		尤兰达	
Yvette		伊薇特
Yvonne		伊温妮	
Zachary		圣扎迦利	
Zack		扎克	
Zara		莎拉	
Zelda		塞尔达	
Zoey		佐伊	
Zoe		佐伊	
Zora		卓拉	
